127 3	138.75 -51.25
128 3	141.25 -51.25
129 3	143.75 -51.25
130 3	146.25 -51.25
131 3	148.75 -51.25
132 3	151.25 -51.25
133 3	153.75 -51.25
134 3	156.25 -51.25
135 3	158.75 -51.25
136 3	161.25 -51.25
137 3	163.75 -51.25
138 3	166.25 -51.25
139 3	168.75 -51.25
140 3	171.25 -51.25
141 3	173.75 -51.25
142 3	176.25 -51.25
143 3	178.75 -51.25
0 4	-178.75 -48.75
1 4	-176.25 -48.75
2 4	-173.75 -48.75
3 4	-171.25 -48.75
4 4	-168.75 -48.75
5 4	-166.25 -48.75
6 4	-163.75 -48.75
7 4	-161.25 -48.75
8 4	-158.75 -48.75
9 4	-156.25 -48.75
10 4	-153.75 -48.75
11 4	-151.25 -48.75
12 4	-148.75 -48.75
13 4	-146.25 -48.75
14 4	-143.75 -48.75
15 4	-141.25 -48.75
16 4	-138.75 -48.75
17 4	-136.25 -48.75
18 4	-133.75 -48.75
19 4	-131.25 -48.75
20 4	-128.75 -48.75
21 4	-126.25 -48.75
22 4	-123.75 -48.75
23 4	-121.25 -48.75
24 4	-118.75 -48.75
25 4	-116.25 -48.75
26 4	-113.75 -48.75
27 4	-111.25 -48.75
28 4	-108.75 -48.75
29 4	-106.25 -48.75
30 4	-103.75 -48.75
31 4	-101.25 -48.75
32 4	-98.75 -48.75
33 4	-96.25 -48.75
34 4	-93.75 -48.75
35 4	-91.25 -48.75
36 4	-88.75 -48.75
37 4	-86.25 -48.75
38 4	-83.75 -48.75
39 4	-81.25 -48.75
40 4	-78.75 -48.75
41 4	-76.25 -48.75
42 4	-73.75 -48.75
43 4	-71.25 -48.75
44 4	-68.75 -48.75
45 4	-66.25 -48.75
46 4	-63.75 -48.75
47 4	-61.25 -48.75
48 4	-58.75 -48.75
49 4	-56.25 -48.75
50 4	-53.75 -48.75
51 4	-51.25 -48.75
52 4	-48.75 -48.75
53 4	-46.25 -48.75
54 4	-43.75 -48.75
55 4	-41.25 -48.75
56 4	-38.75 -48.75
57 4	-36.25 -48.75
58 4	-33.75 -48.75
59 4	-31.25 -48.75
60 4	-28.75 -48.75
61 4	-26.25 -48.75
62 4	-23.75 -48.75
63 4	-21.25 -48.75
64 4	-18.75 -48.75
65 4	-16.25 -48.75
66 4	-13.75 -48.75
67 4	-11.25 -48.75
68 4	-8.75 -48.75
69 4	-6.25 -48.75
70 4	-3.75 -48.75
71 4	-1.25 -48.75
72 4	1.25 -48.75
73 4	3.75 -48.75
74 4	6.25 -48.75
75 4	8.75 -48.75
76 4	11.25 -48.75
77 4	13.75 -48.75
78 4	16.25 -48.75
79 4	18.75 -48.75
80 4	21.25 -48.75
81 4	23.75 -48.75
82 4	26.25 -48.75
83 4	28.75 -48.75
84 4	31.25 -48.75
85 4	33.75 -48.75
86 4	36.25 -48.75
87 4	38.75 -48.75
88 4	41.25 -48.75
89 4	43.75 -48.75
90 4	46.25 -48.75
91 4	48.75 -48.75
92 4	51.25 -48.75
93 4	53.75 -48.75
94 4	56.25 -48.75
95 4	58.75 -48.75
96 4	61.25 -48.75
97 4	63.75 -48.75
98 4	66.25 -48.75
99 4	68.75 -48.75
100 4	71.25 -48.75
101 4	73.75 -48.75
102 4	76.25 -48.75
103 4	78.75 -48.75
104 4	81.25 -48.75
105 4	83.75 -48.75
106 4	86.25 -48.75
107 4	88.75 -48.75
108 4	91.25 -48.75
109 4	93.75 -48.75
110 4	96.25 -48.75
111 4	98.75 -48.75
112 4	101.25 -48.75
113 4	103.75 -48.75
114 4	106.25 -48.75
115 4	108.75 -48.75
116 4	111.25 -48.75
117 4	113.75 -48.75
118 4	116.25 -48.75
119 4	118.75 -48.75
120 4	121.25 -48.75
121 4	123.75 -48.75
122 4	126.25 -48.75
123 4	128.75 -48.75
124 4	131.25 -48.75
125 4	133.75 -48.75
126 4	136.25 -48.75
127 4	138.75 -48.75
128 4	141.25 -48.75
129 4	143.75 -48.75
130 4	146.25 -48.75
131 4	148.75 -48.75
132 4	151.25 -48.75
133 4	153.75 -48.75
134 4	156.25 -48.75
135 4	158.75 -48.75
136 4	161.25 -48.75
137 4	163.75 -48.75
138 4	166.25 -48.75
139 4	168.75 -48.75
140 4	171.25 -48.75
141 4	173.75 -48.75
142 4	176.25 -48.75
143 4	178.75 -48.75
0 5	-178.75 -46.25
1 5	-176.25 -46.25
2 5	-173.75 -46.25
3 5	-171.25 -46.25
4 5	-168.75 -46.25
5 5	-166.25 -46.25
6 5	-163.75 -46.25
7 5	-161.25 -46.25
8 5	-158.75 -46.25
9 5	-156.25 -46.25
10 5	-153.75 -46.25
11 5	-151.25 -46.25
12 5	-148.75 -46.25
13 5	-146.25 -46.25
14 5	-143.75 -46.25
15 5	-141.25 -46.25
16 5	-138.75 -46.25
17 5	-136.25 -46.25
18 5	-133.75 -46.25
19 5	-131.25 -46.25
20 5	-128.75 -46.25
21 5	-126.25 -46.25
22 5	-123.75 -46.25
23 5	-121.25 -46.25
24 5	-118.75 -46.25
25 5	-116.25 -46.25
26 5	-113.75 -46.25
27 5	-111.25 -46.25
28 5	-108.75 -46.25
29 5	-106.25 -46.25
30 5	-103.75 -46.25
31 5	-101.25 -46.25
32 5	-98.75 -46.25
33 5	-96.25 -46.25
34 5	-93.75 -46.25
35 5	-91.25 -46.25
36 5	-88.75 -46.25
37 5	-86.25 -46.25
38 5	-83.75 -46.25
39 5	-81.25 -46.25
40 5	-78.75 -46.25
41 5	-76.25 -46.25
42 5	-73.75 -46.25
43 5	-71.25 -46.25
44 5	-68.75 -46.25
45 5	-66.25 -46.25
46 5	-63.75 -46.25
47 5	-61.25 -46.25
48 5	-58.75 -46.25
49 5	-56.25 -46.25
50 5	-53.75 -46.25
51 5	-51.25 -46.25
52 5	-48.75 -46.25
53 5	-46.25 -46.25
54 5	-43.75 -46.25
55 5	-41.25 -46.25
56 5	-38.75 -46.25
57 5	-36.25 -46.25
58 5	-33.75 -46.25
59 5	-31.25 -46.25
60 5	-28.75 -46.25
61 5	-26.25 -46.25
62 5	-23.75 -46.25
63 5	-21.25 -46.25
64 5	-18.75 -46.25
65 5	-16.25 -46.25
66 5	-13.75 -46.25
67 5	-11.25 -46.25
68 5	-8.75 -46.25
69 5	-6.25 -46.25
70 5	-3.75 -46.25
71 5	-1.25 -46.25
72 5	1.25 -46.25
73 5	3.75 -46.25
74 5	6.25 -46.25
75 5	8.75 -46.25
76 5	11.25 -46.25
77 5	13.75 -46.25
78 5	16.25 -46.25
79 5	18.75 -46.25
80 5	21.25 -46.25
81 5	23.75 -46.25
82 5	26.25 -46.25
83 5	28.75 -46.25
84 5	31.25 -46.25
85 5	33.75 -46.25
86 5	36.25 -46.25
87 5	38.75 -46.25
88 5	41.25 -46.25
89 5	43.75 -46.25
90 5	46.25 -46.25
91 5	48.75 -46.25
92 5	51.25 -46.25
93 5	53.75 -46.25
94 5	56.25 -46.25
95 5	58.75 -46.25
96 5	61.25 -46.25
97 5	63.75 -46.25
98 5	66.25 -46.25
99 5	68.75 -46.25
100 5	71.25 -46.25
101 5	73.75 -46.25
102 5	76.25 -46.25
103 5	78.75 -46.25
104 5	81.25 -46.25
105 5	83.75 -46.25
106 5	86.25 -46.25
107 5	88.75 -46.25
108 5	91.25 -46.25
109 5	93.75 -46.25
110 5	96.25 -46.25
111 5	98.75 -46.25
112 5	101.25 -46.25
113 5	103.75 -46.25
114 5	106.25 -46.25
115 5	108.75 -46.25
116 5	111.25 -46.25
117 5	113.75 -46.25
118 5	116.25 -46.25
119 5	118.75 -46.25
120 5	121.25 -46.25
121 5	123.75 -46.25
122 5	126.25 -46.25
123 5	128.75 -46.25
124 5	131.25 -46.25
125 5	133.75 -46.25
126 5	136.25 -46.25
127 5	138.75 -46.25
128 5	141.25 -46.25
129 5	143.75 -46.25
130 5	146.25 -46.25
