"Join_Count,N,9,0","TARGET_FID,N,9,0","CLSFID,N,9,0","ADMINID,N,19,5","COUNTRYID,N,19,5","LATI,N,19,5","LENGTH,N,19,5","LONGI,N,19,5","rp00005,N,19,15","rp00010,N,19,15","rp00002,N,19,15","rp00500,N,19,15","rp00100,N,19,15","Station,C,80","rp00050,N,19,15","rp00250,N,19,15","Nr,N,10,0","rp01000,N,19,15","rp00025,N,19,15"
1,2878,195,613,148,40.363,36.65,-8.832,1.8847879422,1.9423972235,1.7977762953,2.246649737,2.1227867686,diva_id__393,2.0691860974,2.1933608142,864,2.2999001311,2.0151867032
1,2879,196,613,148,40.188,4.711,-8.871,1.8822955552,1.9391362725,1.7964447285,2.2393297608,2.1171192452,diva_id__395,2.0642336592,2.1867517642,866,2.2918697428,2.0109546696
1,2880,197,613,148,40.146,4.748,-8.864,1.8730932732,1.9301926562,1.7868517645,2.2317522377,2.1089855775,diva_id__397,2.0558593246,2.1789349738,868,2.2845313137,2.0023378779
1,2881,198,613,148,40.084,9.48,-8.879,1.8730932732,1.9301926562,1.7868517645,2.2317522377,2.1089855775,diva_id__397,2.0558593246,2.1789349738,868,2.2845313137,2.0023378779
1,2882,199,629,148,39.977,16.653,-8.926,1.8615287448,1.919457409,1.7740347099,2.2253966824,2.1008470242,diva_id__401,2.0469491937,2.1718123286,872,2.2789422939,1.9926504297
1,2883,200,629,148,39.725,45.673,-9.05,1.8394428947,1.8989335498,1.749589667,2.2131221827,2.0852141622,diva_id__402,2.0298630284,2.1580929781,873,2.2681116003,1.9741001503
1,2884,201,629,148,39.364,3.296,-9.346,1.8467758245,1.9065077114,1.7565582461,2.2219703646,2.0935436831,diva_id__404,2.037968103,2.1667180192,875,2.2771827618,1.981979109
1,2885,202,629,148,39.441,29.451,-9.222,1.8255626549,1.883914667,1.7374292058,2.1920897721,2.0666298938,diva_id__406,2.0123381732,2.138113819,877,2.2460266998,1.9576425889
1,2886,203,629,148,39.345,2.735,-9.356,1.8467758245,1.9065077114,1.7565582461,2.2219703646,2.0935436831,diva_id__404,2.037968103,2.1667180192,875,2.2771827618,1.981979109
1,2887,204,629,148,39.313,4.73,-9.345,1.8440256804,1.9015441329,1.7571512193,2.2053169509,2.0816492693,diva_id__410,2.0281331069,2.1521120453,881,2.2584833886,1.9742188501
1,2888,205,656,148,39.271,4.783,-9.338,1.8440256804,1.9015441329,1.7571512193,2.2053169509,2.0816492693,diva_id__410,2.0281331069,2.1521120453,881,2.2584833886,1.9742188501
1,2889,217,656,148,38.883,13.031,-8.986,1.7833781093,1.8341122714,1.7067504741,2.1020551441,1.9929740416,diva_id__435,1.9457701003,2.0551257468,906,2.1489506106,1.8982150197
1,2890,218,635,148,38.806,9.379,-8.933,1.7970313747,1.8507560937,1.7158868755,2.134493027,2.0189820706,diva_id__458,1.9689956633,2.084797347,929,2.1841527762,1.9186374187
1,2891,220,670,148,38.763,6.396,-8.948,1.7833781093,1.8341122714,1.7067504741,2.1020551441,1.9929740416,diva_id__435,1.9457701003,2.0551257468,906,2.1489506106,1.8982150197
1,2892,206,656,148,39.229,4.783,-9.339,1.8794993175,1.9379976437,1.791144879,2.2469454795,2.121171018,diva_id__414,2.0667431641,2.1928341849,885,2.3010176507,2.011910434
1,2893,207,656,148,39.142,16.616,-9.38,1.8755774456,1.932783519,1.7891747942,2.2349065662,2.1119105159,diva_id__416,2.0586849964,2.181990613,887,2.2877842603,2.0050635445
1,2894,208,656,148,39.031,10.609,-9.424,1.8512373303,1.9085582149,1.7646612709,2.2112876154,2.0880447151,diva_id__418,2.0347123733,2.1582654613,889,2.2642714337,1.9809833045
1,2895,209,656,148,38.972,3.041,-9.415,1.8512373303,1.9085582149,1.7646612709,2.2112876154,2.0880447151,diva_id__418,2.0347123733,2.1582654613,889,2.2642714337,1.9809833045
1,2896,210,656,148,38.87,20.762,-9.442,1.8336915375,1.8909048678,1.7472779256,2.1930662403,2.0700545875,diva_id__421,2.0168223161,2.1401435746,892,2.2459506421,1.9631940621
1,2897,211,656,148,38.75,9.395,-9.484,1.8093400712,1.8654890723,1.7245339958,2.1620293924,2.0413061027,diva_id__423,1.9890641015,2.1100912373,894,2.2139299954,1.9364334841
1,2898,212,656,148,38.687,53.372,-9.243,1.7941828737,1.8475876446,1.7135216164,2.1296348322,2.0148117811,cascais,1.9651230592,2.0802351062,50,2.1789988415,1.9150647143
1,2899,213,656,148,38.827,1.653,-9.081,1.7960353469,1.8513944692,1.7124222851,2.1437631937,2.0247381849,diva_id__425,1.9732311006,2.0925556811,896,2.1949336824,1.921340867
1,2900,214,656,148,38.876,11.671,-9.048,1.7960353469,1.8513944692,1.7124222851,2.1437631937,2.0247381849,diva_id__425,1.9732311006,2.0925556811,896,2.1949336824,1.921340867
1,2901,215,656,148,38.925,2.467,-9.007,1.8336915375,1.8909048678,1.7472779256,2.1930662403,2.0700545875,diva_id__421,2.0168223161,2.1401435746,892,2.2459506421,1.9631940621
1,2902,216,656,148,38.937,0.99199,-8.997,1.8030454461,1.8609351806,1.7156102097,2.1666688545,2.0422028971,diva_id__433,1.9883412874,2.1131205109,904,2.2201784819,1.9340790137
1,2903,219,670,148,38.74,5.146,-8.995,1.7833781093,1.8341122714,1.7067504741,2.1020551441,1.9929740416,diva_id__435,1.9457701003,2.0551257468,906,2.1489506106,1.8982150197
1,2904,221,670,148,38.704,6.266,-9.027,1.7833781093,1.8341122714,1.7067504741,2.1020551441,1.9929740416,diva_id__435,1.9457701003,2.0551257468,906,2.1489506106,1.8982150197
1,2905,222,670,148,38.655,6.526,-9.058,1.7904839775,1.8461146379,1.7064607912,2.1399174397,2.0203086097,diva_id__450,1.9685488816,2.0884587528,921,2.1913389212,1.9164041249
1,2906,223,670,148,38.678,24.004,-9.17,1.7960353469,1.8513944692,1.7124222851,2.1437631937,2.0247381849,diva_id__425,1.9732311006,2.0925556811,896,2.1949336824,1.921340867
