Location,TCFDCategoryName,TCFDSubCatName,RiskFactorName,ScenarioName,RiskYear,ValueAtRisk,ParentCorpID
Boise,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2020,0,1
Boise,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2030,0.0349461,1
Boise,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2040,0.0322893,1
Boise,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2050,0.022059,1
Boise,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2060,0.0914436,1
Boise,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2070,0.162497,1
Boise,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2080,0.286168,1
Boise,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2090,0.447612,1
Boise,  Opportunity,Resilience,Energy resilience ,RCP8.5,2010,0,1
Boise,  Opportunity,Resilience,Energy resilience ,RCP8.5,2020,0,1
Boise,  Opportunity,Resilience,Energy resilience ,RCP8.5,2030,0.174731,1
Boise,  Opportunity,Resilience,Energy resilience ,RCP8.5,2040,0.161447,1
Boise,  Opportunity,Resilience,Energy resilience ,RCP8.5,2050,0.110295,1
Boise,  Opportunity,Resilience,Energy resilience ,RCP8.5,2060,0.457218,1
Boise,  Opportunity,Resilience,Energy resilience ,RCP8.5,2070,0.812484,1
Boise,  Opportunity,Resilience,Energy resilience ,RCP8.5,2080,1.43084,1
Boise,  Opportunity,Resilience,Energy resilience ,RCP8.5,2090,2.23806,1
Boise,  Physical Risk,Chronic,Drought ,RCP8.5,2010,40,1
Boise,  Physical Risk,Chronic,Drought ,RCP8.5,2020,8,1
Boise,  Physical Risk,Chronic,Drought ,RCP8.5,2030,16,1
Boise,  Physical Risk,Chronic,Drought ,RCP8.5,2040,48,1
Boise,  Physical Risk,Chronic,Drought ,RCP8.5,2050,40,1
Boise,  Physical Risk,Chronic,Drought ,RCP8.5,2060,56,1
Boise,  Physical Risk,Chronic,Drought ,RCP8.5,2070,64,1
Boise,  Physical Risk,Chronic,Drought ,RCP8.5,2080,56,1
Boise,  Physical Risk,Chronic,Drought ,RCP8.5,2090,48,1
Manassas,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2010,3.62683,1
Manassas,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2020,2.19283,1
Manassas,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2030,2.16869,1
Manassas,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2040,4.38557,1
Manassas,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2050,8.11998,1
Manassas,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2060,10.3794,1
Manassas,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2070,14.366,1
Manassas,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2080,14.9897,1
Manassas,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2090,17.1243,1
Manassas,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2010,0.483578,1
Manassas,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2020,0.292378,1
Manassas,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2030,0.289158,1
Manassas,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2040,0.584742,1
Manassas,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2050,1.08266,1
Manassas,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2060,1.38392,1
Manassas,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2070,1.91546,1
Manassas,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2080,1.99863,1
Manassas,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2090,2.28324,1
Manassas,  Transition Risk,Technology,New technology ,RCP8.5,2010,0.42313,1
Manassas,  Transition Risk,Technology,New technology ,RCP8.5,2020,0.25583,1
Manassas,  Transition Risk,Technology,New technology ,RCP8.5,2030,0.253014,1
Manassas,  Transition Risk,Technology,New technology ,RCP8.5,2040,0.51165,1
Manassas,  Transition Risk,Technology,New technology ,RCP8.5,2050,0.947331,1
Manassas,  Transition Risk,Technology,New technology ,RCP8.5,2060,1.21093,1
Manassas,  Transition Risk,Technology,New technology ,RCP8.5,2070,1.67603,1
Manassas,  Transition Risk,Technology,New technology ,RCP8.5,2080,1.7488,1
Manassas,  Transition Risk,Technology,New technology ,RCP8.5,2090,1.99784,1
Manassas,  Transition Risk,Market,Reputation damage ,RCP8.5,2010,0.302236,1
Manassas,  Transition Risk,Market,Reputation damage ,RCP8.5,2020,0.182736,1
Manassas,  Transition Risk,Market,Reputation damage ,RCP8.5,2030,0.180724,1
Manassas,  Transition Risk,Market,Reputation damage ,RCP8.5,2040,0.365464,1
Manassas,  Transition Risk,Market,Reputation damage ,RCP8.5,2050,0.676665,1
Manassas,  Transition Risk,Market,Reputation damage ,RCP8.5,2060,0.86495,1
Manassas,  Transition Risk,Market,Reputation damage ,RCP8.5,2070,1.19717,1
Manassas,  Transition Risk,Market,Reputation damage ,RCP8.5,2080,1.24915,1
Manassas,  Transition Risk,Market,Reputation damage ,RCP8.5,2090,1.42703,1
Manassas,  Transition Risk,Reputation,Materials cost ,RCP8.5,2010,0.604472,1
Manassas,  Transition Risk,Reputation,Materials cost ,RCP8.5,2020,0.365472,1
Manassas,  Transition Risk,Reputation,Materials cost ,RCP8.5,2030,0.361448,1
Manassas,  Transition Risk,Reputation,Materials cost ,RCP8.5,2040,0.730928,1
Manassas,  Transition Risk,Reputation,Materials cost ,RCP8.5,2050,1.35333,1
